"classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","commodity_code","commodity","qty_unit_code","qty_unit","qty","netweight_kg","trade_value_usd","flag"
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"02",Meat and edible meat offal,0,,,0,780715288,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"09","Coffee, tea, mate and spices",0,,,0,773528390,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"11","Products of the milling industry; malt, starches, inulin, wheat gluten",0,,,0,183477084,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0,,,0,248541737,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"13","Lac; gums, resins and other vegetable saps and extracts",0,,,0,165734231,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"16","Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",0,,,0,459523949,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"21",Miscellaneous edible preparations,0,,,0,764228593,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"23","Food industries, residues and wastes thereof; prepared animal fodder",0,,,0,304411394,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"30",Pharmaceutical products,0,,,0,9839961680,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"31",Fertilizers,0,,,0,503281876,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"75",Nickel and articles thereof,0,,,0,258826580,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"78",Lead and articles thereof,0,,,0,96112940,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"79",Zinc and articles thereof,0,,,0,244805464,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"99",Commodities not specified according to kind,0,,,0,8305006609,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"95","Toys, games and sports requisites; parts and accessories thereof",0,,,0,2052684664,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,0,251133868,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"05",Animal originated products; not elsewhere specified or included,0,,,0,116636435,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"07",Vegetables and certain roots and tubers; edible,0,,,0,898239800,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"08","Fruit and nuts, edible; peel of citrus fruit or melons",0,,,0,1681480728,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"10",Cereals,0,,,0,232762117,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"14",Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,,,0,9652198,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"15",Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,0,,,0,612549761,0
HS,2018,201805,May 2018,2,0,1,Imports,842,United States of America,,0,World,,"17",Sugars and sugar confectionery,0,,,0,417482344,0
