0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,0,World,WLD,72,Iron and steel,1,No Quantity,,,29666949112,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,8,Albania,ALB,72,Iron and steel,1,No Quantity,,,13852865,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,32,Argentina,ARG,72,Iron and steel,1,No Quantity,,,15054682,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,36,Australia,AUS,72,Iron and steel,1,No Quantity,,,636844997,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,40,Austria,AUT,72,Iron and steel,1,No Quantity,,,195892595,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,44,Bahamas,BHS,72,Iron and steel,1,No Quantity,,,2811103,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,48,Bahrain,BHR,72,Iron and steel,1,No Quantity,,,982863,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,52,Barbados,BRB,72,Iron and steel,1,No Quantity,,,10150,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,56,Belgium,BEL,72,Iron and steel,1,No Quantity,,,217708477,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,68,Bolivia (Plurinational State of),BOL,72,Iron and steel,1,No Quantity,,,53468,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,76,Brazil,BRA,72,Iron and steel,1,No Quantity,,,3609197142,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,92,Br. Virgin Isds,VGB,72,Iron and steel,1,No Quantity,,,79408,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,112,Belarus,BLR,72,Iron and steel,1,No Quantity,,,9419601,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,124,Canada,CAN,72,Iron and steel,1,No Quantity,,,5967978219,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,136,Cayman Isds,CYM,72,Iron and steel,1,No Quantity,,,2263748,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,152,Chile,CHL,72,Iron and steel,1,No Quantity,,,98520605,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,156,China,CHN,72,Iron and steel,1,No Quantity,,,1579902004,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,162,Christmas Isds,CXR,72,Iron and steel,1,No Quantity,,,658806,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,170,Colombia,COL,72,Iron and steel,1,No Quantity,,,74571700,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,188,Costa Rica,CRI,72,Iron and steel,1,No Quantity,,,1349460,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,203,Czechia,CZE,72,Iron and steel,1,No Quantity,,,71875378,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,208,Denmark,DNK,72,Iron and steel,1,No Quantity,,,10203174,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,214,Dominican Rep.,DOM,72,Iron and steel,1,No Quantity,,,133281815,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,218,Ecuador,ECU,72,Iron and steel,1,No Quantity,,,2094831,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,222,El Salvador,SLV,72,Iron and steel,1,No Quantity,,,145266,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,246,Finland,FIN,72,Iron and steel,1,No Quantity,,,63667467,0
H3,2011,2011,2011,2,0,1,Import,842,USA,USA,251,France,FRA,72,Iron and steel,1,No Quantity,,,473067305,0
