0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,251,France,,72,Iron and steel,0,,,,43844657,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,112,Belarus,,72,Iron and steel,0,,,,80909,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,124,Canada,,72,Iron and steel,0,,,,455761614,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,136,Cayman Isds,,72,Iron and steel,0,,,,12688,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,152,Chile,,72,Iron and steel,0,,,,5761662,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,156,China,,72,Iron and steel,0,,,,133078403,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,170,Colombia,,72,Iron and steel,0,,,,7813516,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,188,Costa Rica,,72,Iron and steel,0,,,,317593,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,203,Czech Rep.,,72,Iron and steel,0,,,,12411395,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,208,Denmark,,72,Iron and steel,0,,,,281409,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,214,Dominican Rep.,,72,Iron and steel,0,,,,5554558,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,218,Ecuador,,72,Iron and steel,0,,,,49028,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,246,Finland,,72,Iron and steel,0,,,,7472299,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,268,Georgia,,72,Iron and steel,0,,,,29984090,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,276,Germany,,72,Iron and steel,0,,,,101255251,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,300,Greece,,72,Iron and steel,0,,,,135257,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,320,Guatemala,,72,Iron and steel,0,,,,27876,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,344,"China, Hong Kong SAR",,72,Iron and steel,0,,,,279835,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,360,Indonesia,,72,Iron and steel,0,,,,2091637,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,372,Ireland,,72,Iron and steel,0,,,,126877,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,376,Israel,,72,Iron and steel,0,,,,963131,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,381,Italy,,72,Iron and steel,0,,,,137968288,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,392,Japan,,72,Iron and steel,0,,,,161163603,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,398,Kazakhstan,,72,Iron and steel,0,,,,32071127,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,410,Rep. of Korea,,72,Iron and steel,0,,,,158454996,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,442,Luxembourg,,72,Iron and steel,0,,,,4748151,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,458,Malaysia,,72,Iron and steel,0,,,,7821224,0
HS,2012,201207,July 2012,2,0,1,Imports,842,United States of America,,484,Mexico,,72,Iron and steel,0,,,,171325719,0
