0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,0,World,,73,Iron or steel articles,0,,,,3232238405,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,32,Argentina,,73,Iron or steel articles,0,,,,18194591,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,36,Australia,,73,Iron or steel articles,0,,,,3572453,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,40,Austria,,73,Iron or steel articles,0,,,,48395783,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,56,Belgium,,73,Iron or steel articles,0,,,,4160316,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,70,Bosnia Herzegovina,,73,Iron or steel articles,0,,,,2565,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,76,Brazil,,73,Iron or steel articles,0,,,,21591595,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,92,Br. Virgin Isds,,73,Iron or steel articles,0,,,,4250,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,100,Bulgaria,,73,Iron or steel articles,0,,,,738075,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,112,Belarus,,73,Iron or steel articles,0,,,,11931324,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,116,Cambodia,,73,Iron or steel articles,0,,,,514362,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,124,Canada,,73,Iron or steel articles,0,,,,348902250,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,152,Chile,,73,Iron or steel articles,0,,,,788022,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,156,China,,73,Iron or steel articles,0,,,,830936471,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,170,Colombia,,73,Iron or steel articles,0,,,,2139319,0
HS,2013,201304,April 2013,2,0,1,Imports,842,United States of America,,180,Dem.Rep. of the Congo,,73,Iron or steel articles,0,,,,5713,0
